;Basisthema;Type;Definitie;Eenheid;Ratio;Teller;Noemer;Bron;Laatste jaar beschikbaar;Aanlevering volgende update;Title;Download URL;Vraagstelling survey
10;Armoede;Geregistreerde statistiek;Aantal personen met een leefloon of equivalent leefloon ten opzichte van de totale bevolking, begin van het jaar. Het leefloon kadert in het Recht op Maatschappelijke Integratie (RMI), het equivalent leefloon in het Recht op Maatschappelijke Hulp (RMH). Het RMH is er voor mensen die niet in aanmerking komen voor het RMI maar die zich in een vergelijkbare noodsituatie bevinden. Het (equivalent) leefloon is een minimuminkomen voor personen die niet over voldoende bestaansmiddelen beschikken. Het bedrag van het (equivalent) leefloon hangt af van de woonsituatie. Er bestaan in dit verband drie categorieën: personen die alleen wonen, personen die samenwonen en personen met een gezin ten laste met minstens één minderjarig kind. Het bedrag van het leefloon wordt verminderd met de inkomsten waarover de aanvrager zelf kan beschikken.;persoon;procent;Aantal personen met een (equivalent) leefloon;Aantal inwoners;Programmatorische Overheidsdienst Maatschappelijke Integratie;2022;september 2023;Personen met (equivalent) leefloon;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_AR_13.xlsx;
11;Armoede;Geregistreerde statistiek;Aantal personen dat op 31 december van het jaar bij de Centrale voor Kredieten aan Particulieren van de Nationale Bank van België geregistreerd staat met minstens één wanbetaling voor een consumentenkrediet (verrichtingen op afbetaling en kredietopeningen) of hypothecair krediet, afgesloten door natuurlijke personen voor privédoeleinden, ten opzichte van de bevolking van 18 jaar en ouder op 1 januari van jaar x+1.;persoon;procent;Aantal personen geregistreerd bij de Centrale voor Kredieten aan Particulieren van de Nationale Bank van België met een betalingsachterstand;Aantal inwoners van 18 jaar en ouder;Nationale Bank van België;2022;februari 2024;Personen met betalingsachterstand;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_AR_01.xlsx;
12;Armoede;Geregistreerde statistiek;Aantal personen met een Inkomensgarantie voor Ouderen (IGO) of Gewaarborgd Inkomen voor Bejaarden (GIB) ten opzichte van de bevolking van 65 jaar en ouder, begin van het jaar. De IGO/GIB is een minimuminkomen voor ouderen die niet over voldoende bestaansmiddelen beschikken. Het GIB wordt sinds 2002 geleidelijk aan vervangen door de IGO. Meestal gaat het om een toeslag bovenop het pensioen, zodat men een bedrag bekomt dat vergelijkbaar is met het leefloon. Het wordt toegekend aan personen die de pensioengerechtigde leeftijd hebben bereikt maar die door omstandigheden geen of geen voldoende loopbaan hebben kunnen opbouwen.;persoon;procent;Aantal personen met een IGO of GIB;Aantal inwoners van 65 jaar en ouder;Federale Overheidsdienst Sociale Zekerheid;2022;september 2023;Personen met Inkomensgarantie voor Ouderen;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_AR_15.xlsx;
13;Armoede;Geregistreerde statistiek;Aandeel personen met een inkomensvervangende tegemoetkoming (IVT) of een integratie­tegemoetkoming (IT). Personen met een handicap kunnen een beroep doen op een inkomensvervangende tegemoetkoming (IVT) indien zij door hun handicap geen of minder mogelijkheden hebben om een betaalde baan uit te oefenen. Daarnaast bestaat er voor hen ook een integratie­tegemoetkoming (IT) indien zij moeilijkheden hebben bij het uitvoeren van hun dagelijkse activiteiten. De cijfers over IVT en IT zijn gebaseerd op gegevens van de DG Handicap van de FOD Sociale Zekerheid en hebben betrekking op de situatie op 1 januari van het jaar.;persoon;procent;Aantal personen met een inkomensvervangende tegemoetkoming voor personen met een handicap;Aantal inwoners;Directie-Generaal Personen met een Handicap van FOD Sociale Zekerheid;2021;september 2023;Personen met inkomensvervangende tegemoetkoming;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_AR_18.xlsx;
14;Armoede;Geregistreerde statistiek;"De federale overheid probeert via de sociale bijstandsuitkeringen de armoedesituatie van de minst gegoede inwoners te verbeteren. Het gaat om: (1) het leefloon en het equivalent leefloon, (2) de inkomensgarantie voor ouderen (IGO) die het vroegere gewaarborgd inkomen voor bejaarden (GIB) vervangt, (3) de inkomensvervangende tegemoetkoming voor personen met een handicap (IVT).
De cijfers over de bevolking met sociale bijstandsuitkering worden berekend door het totaal aantal personen met een (equivalent) leefloon, IGO, GIB, IVT en/of IT af te zetten ten opzichte van het totale aantal inwoners op 1 januari van het jaar.";persoon;procent;Aantal personen met een (equivalent) leefloon, met een IGO of GIB, met een IVT en/of met een IT;Aantal inwoners;Programmatorische Overheidsdienst Maatschappelijke Integratie, Federale Pensioendienst en Directie-Generaal Personen met een Handicap van FOD Sociale Zekerheid;2022;september 2023;Personen met sociale bijstandsuitkering;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_AR_17.xlsx;
15;Armoede;Geregistreerde statistiek;"Aantal personen met een verhoogde tegemoetkoming in de ziekteverzekering ten opzichte van de totale bevolking, op 1 januari van het jaar. Personen met een verhoogde tegemoetkoming in de ziekteverzekering genieten onder andere van hogere terugbetalingen voor geneeskundige verzorging en geneesmiddelen, een gunstiger stelsel voor de vooruitbetalingen en het persoonlijk aandeel (remgeld) in geval van hospitalisatie.
Er zijn drie rechtgevende categorieën: (1) op basis van een ontvangen sociaal voordeel (leefloon of gelijkaardige OCMW-hulp, IGO, GIB of recht op rentebijslag, uitkering voor personen met een handicap volgens de wet van 27 februari 1987, niet-begeleide minderjarige vreemdelingen, gehandicapte kinderen met ongeschiktheid van ten minste 66%), (2) op basis van een specifieke hoedanigheid en een inkomenscontrole (wezen, gepensioneerden, invaliden, weduwen/weduwnaars, personen die minstens één jaar werkloos of arbeidsongeschikt zijn, personen met een erkende handicap die geen tegemoetkoming ontvangen en leden van eenoudergezinnen), (3) op basis van een inkomenscontrole voor de gezinnen die zich niet in één van bovenstaande situaties bevinden maar leven in een gezin met een bescheiden inkomen (OMNIO-statuut).";persoon;procent;Aantal personen met een verhoogde tegemoetkoming;Aantal inwoners;Datawarehouse Arbeidsmarkt en Sociale Bescherming van de Kruispuntbank van de Sociale Zekerheid;2023;augustus 2024;Personen met verhoogde tegemoetkoming in ziekteverzekering;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_AR_16.xlsx;
16;Armoede;Burgerbevraging;Aandeel van de inwoners dat (heel erg) moeilijk rondkomt met het maandelijks beschikbare inkomen.;persoon;procent;De tellers werden berekend op basis van 4 antwoordcategorieën: ‘Heel erg moeilijk’, ‘Moeilijk’, ‘Het lukt om rond te komen’ en 'Het lukt om comfortabel te leven'. De indicator is het aandeel van de inwoners die aangeven 'Heel erg moeilijk/Moeilijk' rond te komen.;Iedereen die antwoordde op de vraag werd in de noemer opgenomen, uitgezonderd de respondenten in de categorie 'Weet niet'. Indien dit om een omvangrijke categorie gaat, wordt hun percentage meegegeven bij 'Opmerkingen bij de kwaliteit'.;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;2020;voorjaar 2024;Subjectieve armoede;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_AR_S_02.xlsx;"Kan je met het totale beschikbare inkomen van je gezin, zoals het nu is, maandelijks rondkomen? Het totale beschikbare inkomen van het gezin per maand bestaat uit: netto inkomens uit arbeid of bedrijfsinkomen; sociale uitkeringen (vervangingsinkomen, kinderbijslag, werkloosheidsuitkering, pensioenuitkering, tegemoetkoming personen met handicap); bijkomende uitkeringen (maaltijdcheques, intresten, inkomsten uit mandaten,..). Antwoordmogelijkheden: ‘Heel erg moeilijk’, ‘Moeilijk’, ‘Het lukt om rond te komen met het huidige inkomen’, ‘Het lukt om comfortabel te leven met het huidige inkomen’, 'Weet niet’"
17;Cultuur en vrije tijd;Geregistreerde statistiek;Aantal amateurkunstenorganisaties per 10.000 inwoners.;organisatie;per 10.000 inwoners;Aantal amateurkunstenorgansaties;Aantal inwoners;Sisca;2017;voorjaar 2023;Amateurkunstenorganisaties;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_CU_01.xlsx;
18;Cultuur en vrije tijd;Burgerbevraging;Aandeel van de inwoners dat het afgelopen jaar minstens één keer een (zomer)festival, een plein- of parkevenement of een fuif heeft bezocht in de eigen gemeente/stad of in een andere gemeente/stad.;persoon;procent;De tellers werden berekend op basis van 3 antwoordcategorieën: 'Nooit/niet aanwezig in mijn gemeente', 'Tot 12 keer (in 2020 samenvoeging van '1 tot 6 keer' en '7 tot 12 keer')', 'Meer dan 12 keer'. De categorie 'Niet aanwezig in mijn gemeente' kon hier niet apart in beeld gebracht worden: zie 'Opmerkingen bij de kwaliteit'.;Iedereen die antwoordde op de vraag werd in de noemer opgenomen.;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;2020;voorjaar 2024;Bezoek festival, evenement, fuif in eigen of andere gemeente;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_CU_S_01.xlsx;"Hoeveel keer ging je het afgelopen jaar in jouw gemeente/stad naar ... een (zomer)festival, een pleinevenement, parkevenement, fuif? Antwoordmogelijkheden: 'Niet aanwezig in mijn gemeente/stad', 'Nooit', '1 tot 6 keer', '7 tot 12 keer', 'Meer dan 12 keer'. 
Hoeveel keer deed je het afgelopen jaar één van de volgende activiteiten in een andere stad of gemeente? Noteer enkel de gemeente waar je het meest bent geweest. Een (zomer)festival, plein- of parkevenement of fuif bijwonen. Antwoordmogelijkheden: 'Nooit', '1 tot 6 keer', '7 tot 12 keer', 'Meer dan 12 keer'. 'In welke andere stad of gemeente deed je dit meestal?'"
19;Cultuur en vrije tijd;Burgerbevraging;Aandeel van de inwoners dat het afgelopen jaar minstens één keer een museum, tentoonstelling, galerij of historisch gebouw heeft bezocht in de eigen gemeente/stad of in een andere gemeente/stad.;persoon;procent;De tellers werden berekend op basis van 3 antwoordcategorieën: 'Nooit', 'Tot 12 keer (in 2020 samenvoeging van '1 tot 6 keer' en '7 tot 12 keer')', 'Meer dan 12 keer'. Daarnaast wordt ook de categorie 'Niet aanwezig in mijn gemeente/stad' in beeld gebracht.;Iedereen die antwoordde op de vraag werd in de noemer opgenomen.;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;2020;voorjaar 2024;Bezoek museum, tentoonstelling in eigen of andere gemeente;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_CU_S_02.xlsx;"Hoeveel keer bezocht je het afgelopen jaar in jouw gemeente/stad ... een museum, tentoonstelling, galerij of historisch gebouw (kasteel, kerk, ...)? Antwoordmogelijkheden: 'Niet aanwezig in mijn gemeente/stad', 'Nooit', '1 tot 6 keer', '7 tot 12 keer', 'Meer dan 12 keer'.
Hoeveel keer deed je het afgelopen jaar één van de volgende activiteiten in een andere stad of gemeente? Noteer enkel de gemeente waar je het meest bent geweest. Een museum, tentoonstelling, galerij of historisch gebouw (kasteel, kerk, ...) bezoeken. Antwoordmogelijkheden: 'Nooit', '1 tot 6 keer', '7 tot 12 keer', 'Meer dan 12 keer'. 'In welke andere stad of gemeente deed je dit meestal?'"
20;Cultuur en vrije tijd;Burgerbevraging;Aandeel van de inwoners dat het afgelopen jaar minstens één keer een restaurant, brasserie of eetcafé heeft bezocht in de eigen gemeente/stad of in een andere gemeente/stad.;persoon;procent;De tellers werden berekend op basis van 3 antwoordcategorieën: 'Nooit', 'Tot 12 keer (in 2020 samenvoeging van '1 tot 6 keer' en '7 tot 12 keer')', 'Meer dan 12 keer'. Daarnaast wordt ook de categorie 'Niet aanwezig in mijn gemeente/stad' in beeld gebracht.;Iedereen die antwoordde op de vraag werd in de noemer opgenomen.;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;2020;voorjaar 2024;Bezoek restaurant, brasserie, eetcafé in eigen of andere gemeente;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_CU_S_15.xlsx;Hoeveel keer bezocht je het afgelopen jaar in jouw gemeente/stad ... een restaurant, brasserie, eetcafé? Antwoordmogelijkheden: 'Niet aanwezig in mijn gemeente/stad', 'Nooit', '1 tot 6 keer', '7 tot 12 keer', 'Meer dan 12 keer'. Hoeveel keer deed je het afgelopen jaar één van de volgende activiteiten in een andere stad of gemeente? Noteer enkel de gemeente waar je het meest bent geweest. Een restaurant, brasserie of eetcafé bezoeken. Antwoordmogelijkheden: 'Nooit', '1 tot 6 keer', '7 tot 12 keer', 'Meer dan 12 keer'. 'In welke andere stad of gemeente deed je dit meestal?'
21;Cultuur en vrije tijd;Burgerbevraging;Aandeel van de inwoners dat het afgelopen jaar minstens één keer een speelterrein (speeltuin of speelplein) heeft bezocht in de eigen gemeente/stad of in een andere gemeente/stad.;persoon;procent;De tellers werden berekend op basis van 3 antwoordcategorieën: 'Nooit', 'Tot 12 keer (in 2020 samenvoeging van '1 tot 6 keer' en '7 tot 12 keer')', 'Meer dan 12 keer'. Daarnaast wordt ook de categorie 'Niet aanwezig in mijn gemeente/stad' in beeld gebracht.;Iedereen die antwoordde op de vraag werd in de noemer opgenomen.;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;2020;voorjaar 2024;Bezoek speelterrein in eigen of andere gemeente;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_CU_S_16.xlsx;"Hoeveel keer bezocht je het afgelopen jaar in jouw gemeente/stad ... een speelterrein (speeltuin, speelplein, ...)? Antwoordmogelijkheden: 'Niet aanwezig in mijn gemeente/stad', 'Nooit', '1 tot 6 keer', '7 tot 12 keer', 'Meer dan 12 keer'. 
Hoeveel keer deed je het afgelopen jaar één van de volgende activiteiten in een andere stad of gemeente? Noteer enkel de gemeente waar je het meest bent geweest. Naar een speelterrein (speeltuin,
speelplein, ...) gaan. Antwoordmogelijkheden: 'Nooit', '1 tot 6 keer', '7 tot 12 keer', 'Meer dan 12 keer'. 'In welke andere stad of gemeente deed je dit meestal?'"
22;Cultuur en vrije tijd;Burgerbevraging;Aandeel van de inwoners dat het afgelopen jaar minstens één keer uitgaansvoorzieningen heeft bezocht in de eigen gemeente/stad of in een andere gemeente/stad.;persoon;procent;De tellers werden berekend op basis van 3 antwoordcategorieën: 'Nooit', 'Tot 12 keer (in 2020 samenvoeging van '1 tot 6 keer' en '7 tot 12 keer')', 'Meer dan 12 keer'. Daarnaast wordt ook de categorie 'Niet aanwezig in mijn gemeente/stad' in beeld gebracht.;Iedereen die antwoordde op de vraag werd in de noemer opgenomen.;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;2020;voorjaar 2024;Bezoek uitgaansgelegenheid in eigen of andere gemeente;https://gsminfo.blob.core.windows.net/$web/Rapporten_outputs/OutputPerlDO/GSM_Extract_CU_S_17.xlsx;"Hoeveel keer bezocht je het afgelopen jaar in jouw gemeente/stad ... een uitgaansgelegenheid (café, danscafé, dancing, ...)? Antwoordmogelijkheden: 'Niet aanwezig in mijn gemeente/stad', 'Nooit', '1 tot 6 keer', '7 tot 12 keer', 'Meer dan 12 keer'. 
Hoeveel keer deed je het afgelopen jaar één van de volgende activiteiten in een andere stad of gemeente? Noteer enkel de gemeente waar je het meest bent geweest. Een uitgaansgelegenheid (café, danscafé, dancing, …) bezoeken. Antwoordmogelijkheden: 'Nooit', '1 tot 6 keer', '7 tot 12 keer', 'Meer dan 12 keer'. 'In welke andere stad of gemeente deed je dit meestal?'"
